CustomerID,Name,DOB,Location
1,Natalie Nguyen,1954-11-12,Kolkata
2,Shannon Lane,1959-01-28,Ranchi
3,Robin Clark,1995-07-05,Kanpur
4,David Lee,1969-05-13,Jaipur
5,Zachary Kim,1970-12-14,Mumbai
6,Larry Anderson,1990-10-17,Lucknow
7,Vickie Murphy,1985-08-20,Hyderabad
8,Shawn Rios,1962-02-10,Bhopal
9,Micheal Smith,1956-12-07,Chandigarh
10,Mark Sanchez DDS,1959-02-22,Pune
11,Angela Reyes,1997-06-25,Surat
12,Derek Chang,1963-03-12,Kolkata
13,Renee Bartlett,2002-01-25,Ahmedabad
14,Angela Nguyen,1967-10-17,Kolkata
15,Daryl Powell,1989-05-15,Ranchi
16,Randy Yates,1982-08-30,Delhi
17,Ashley Harris,2003-05-22,Ludhiana
18,Regina Walker,1964-10-24,Varanasi
19,Cole Scott,1972-01-31,Delhi
20,Tracy Hale,1956-02-05,Indore
21,Jason Kim,1994-01-18,Varanasi
22,Jennifer Henry,1961-09-07,Patna
23,Dana Mcmahon,1977-11-16,Pune
24,Mariah Miller,1995-04-10,Visakhapatnam
25,Marc Oliver,1974-07-10,Chennai
26,Tiffany Christian,1961-12-28,Varanasi
27,Brian Baker,1965-07-04,Bengaluru
28,William Goodman,2000-03-10,Amritsar
29,Jennifer Nguyen,1984-01-19,Jaipur
30,Thomas Davis,1987-08-20,Amritsar
31,Michael Young,1997-02-19,Guwahati
32,George Rhodes,1980-12-24,Hyderabad
33,Tina Shaw,1968-02-20,Chennai
34,Kyle Freeman,1986-05-19,Bhopal
35,Christian Taylor,1974-06-29,Indore
36,Calvin Lawrence,1973-12-17,Ranchi
37,Mark Williams,2005-06-26,Varanasi
38,Norma Townsend,1980-12-31,Kanpur
39,Brandon Best,1999-03-03,Bengaluru
40,Michelle King DDS,2003-12-31,Bhopal
41,Jennifer Rivers,1995-02-23,Mumbai
42,Jessica Russell,1993-06-03,Ludhiana
43,Mary Robinson,2001-11-26,Lucknow
44,Brenda Banks,1960-01-31,Mumbai
45,Patricia Walker,1959-09-19,Guwahati
46,Ashley Thomas,1975-11-22,Pune
47,Linda Parker,1998-06-21,Varanasi
48,Ryan Livingston,1986-07-25,Vadodara
49,Virginia Stone,1987-01-09,Varanasi
50,Isaiah Andersen,1965-06-25,Chennai
